name,density,atomic_mass,electron_affinity,thermal_conductivity,valence,electronegativity,critical_temp
Nb,8.57,92.91,86.1,53.7,5,1.6,9.25
Pb,11.34,207.2,35.1,35.3,4,2.33,7.19
V,6.11,50.94,50.9,30.7,5,1.63,5.4
Hg,13.53,200.59,34.2,8.3,2,2.0,4.15
Sn,7.31,118.71,107.3,66.8,4,1.96,3.72
Nb3Sn,8.9,98.0,72.0,25.0,4,1.72,18.3
Nb3Ge,8.6,88.5,68.0,20.0,4,1.68,23.2
Nb3Al,7.8,73.0,56.0,30.0,4,1.62,18.9
V3Si,5.7,52.0,45.0,35.0,4,1.68,17.1
V3Ga,6.2,58.0,48.0,28.0,4,1.7,16.8
MgB2,2.57,22.8,26.0,40.0,3,1.55,39.0
YBa2Cu3O7,6.38,88.5,52.0,5.0,3,1.82,92.0
Bi2Sr2CaCu2O8,6.5,105.0,48.0,3.5,3,1.9,85.0
Bi2Sr2Ca2Cu3O10,6.6,108.0,46.0,3.0,3,1.92,110.0
Tl2Ba2Ca2Cu3O10,8.2,140.0,40.0,4.0,3,1.95,125.0
HgBa2Ca2Cu3O8,8.8,152.0,38.0,3.5,3,1.98,133.0
La1.85Sr0.15CuO4,6.8,98.0,50.0,6.0,3,1.78,38.0
La1.85Ba0.15CuO4,6.9,100.0,49.0,5.5,3,1.76,30.0
LaFeAsO0.9F0.1,6.15,78.0,55.0,12.0,3,1.72,26.0
SmFeAsO0.85,7.1,82.0,58.0,10.0,3,1.75,55.0
BaFe2As2 (K-doped),6.4,85.0,54.0,15.0,3,1.7,38.0
FeSe,4.8,66.0,62.0,10.0,3,1.8,8.0
FeSe (pressured),4.8,66.0,62.0,10.0,3,1.8,37.0
NdFeAsO0.85,7.2,80.0,57.0,11.0,3,1.74,52.0
NbN,8.47,55.0,72.0,15.0,4,1.68,16.0
NbC,7.82,53.0,68.0,14.0,4,1.65,11.5
MoN,9.2,55.0,65.0,12.0,4,1.72,12.0
PbMo6S8,8.5,110.0,55.0,8.0,4,1.85,15.2
Ba0.6K0.4BiO3,6.8,95.0,42.0,7.0,3,1.88,30.0
CeCoIn5,8.1,82.0,45.0,8.0,3,1.72,2.3
UPt3,19.4,205.0,30.0,6.0,4,1.5,0.48
CeCu2Si2,7.5,78.0,40.0,10.0,3,1.7,0.65
H3S (200GPa),3.1,17.0,72.5,20.0,2,2.1,203.0
LaH10 (170GPa),5.5,57.0,48.0,15.0,3,1.65,250.0
CaH6 (172GPa),3.8,24.0,60.0,18.0,3,1.5,215.0
Elem-000,12.3,111.43,67.29,56.35,4,1.77,1.26
Elem-001,5.61,73.88,50.29,35.93,5,1.96,2.03
Elem-002,6.99,189.45,48.56,134.04,3,2.31,3.07
Elem-003,14.09,77.97,104.23,51.28,5,1.63,6.46
Elem-004,16.94,168.15,11.97,181.52,6,1.55,5.19
Elem-005,4.56,115.14,40.59,70.77,6,1.53,4.39
Elem-006,3.64,111.58,60.45,232.48,4,1.47,7.06
Elem-007,5.12,203.51,68.64,137.8,2,1.55,8.52
Elem-008,7.71,191.17,11.36,25.67,7,1.62,0.15
Elem-009,4.96,39.62,31.85,150.75,3,2.35,7.69
Elem-010,11.04,70.36,12.59,54.12,5,2.27,5.92
Elem-011,11.44,59.19,7.8,93.77,7,1.54,8.77
Elem-012,4.03,192.51,40.18,53.77,7,2.18,5.59
Elem-013,10.7,127.46,48.92,71.77,5,1.41,2.89
Elem-014,2.57,93.76,95.49,149.11,4,2.06,1.44
Elem-015,9.24,179.27,8.39,123.78,3,1.71,8.15
Elem-016,16.65,89.52,80.77,9.61,6,1.76,0.68
Elem-017,14.09,151.11,54.07,220.43,4,1.63,8.3
Elem-018,11.15,67.24,67.67,63.0,3,1.96,1.74
Elem-019,7.22,29.42,22.08,119.16,4,2.33,0.15
Elem-020,5.49,153.78,89.6,35.14,2,2.23,6.74
Elem-021,8.92,87.32,46.07,95.13,2,2.22,6.17
Elem-022,6.53,88.27,49.21,188.85,4,1.91,3.79
Elem-023,15.19,76.03,65.28,61.2,5,2.37,0.15
Elem-024,5.59,71.5,33.85,203.47,4,2.24,3.77
Elem-025,6.48,130.47,51.94,149.31,2,2.03,9.56
Elem-026,14.2,86.76,20.89,153.93,3,2.29,4.87
Elem-027,6.39,103.74,79.4,217.69,2,1.49,7.43
Elem-028,6.39,62.36,17.36,124.77,2,1.62,10.11
Elem-029,3.53,118.45,35.79,37.61,3,2.31,7.7
A15-030,7.28,93.54,89.16,32.21,5,1.78,26.48
A15-031,7.71,103.91,51.5,24.8,4,1.69,17.29
A15-032,8.07,75.16,61.45,20.94,5,1.62,21.67
A15-033,8.12,92.37,44.13,22.7,4,1.73,22.51
A15-034,8.88,87.2,64.96,31.17,5,1.58,15.83
A15-035,6.17,86.54,62.62,17.31,5,1.62,16.05
A15-036,6.41,78.16,64.22,25.46,5,1.55,22.21
A15-037,6.79,72.77,46.78,13.84,5,1.79,18.11
A15-038,9.24,50.47,65.52,32.02,5,1.62,17.79
A15-039,8.09,98.87,58.77,30.78,4,1.76,17.21
A15-040,6.01,81.22,61.35,15.17,4,1.77,21.5
A15-041,6.74,87.82,78.35,17.11,4,1.68,15.12
A15-042,8.31,66.41,65.17,19.31,4,1.74,12.79
A15-043,6.3,81.76,41.09,19.66,5,1.63,16.49
A15-044,8.5,52.08,60.1,19.35,4,1.65,25.55
A15-045,9.25,79.07,84.7,33.28,4,1.78,14.83
A15-046,9.22,81.39,54.78,11.04,5,1.79,13.69
A15-047,7.45,67.59,47.76,15.97,5,1.57,16.79
