name,density,atomic_mass,electron_affinity,thermal_conductivity,valence,electronegativity,critical_temp
Al,2.7,26.98,42.5,237.0,3,1.61,1.18
Sn,7.31,118.71,107.3,66.8,4,1.96,3.72
Pb,11.34,207.2,35.1,35.3,4,2.33,7.19
Nb,8.57,92.91,86.1,53.7,5,1.6,9.25
V,6.11,50.94,50.9,30.7,5,1.63,5.4
Hg,13.53,200.59,34.2,8.3,2,2.0,4.15
In,7.31,114.82,28.9,81.8,3,1.78,3.41
Ta,16.65,180.95,31.0,57.5,5,1.5,4.47
Zn,7.13,65.38,9.4,116.0,2,1.65,0.85
Ti,4.51,47.87,7.6,21.9,4,1.54,0.4
Ga,5.91,69.72,28.9,40.6,3,1.81,1.08
Tc,11.0,97.0,53.0,50.6,7,1.9,7.77
Synth-000,9.74,167.71,67.37,238.81,3,2.01,17.49
Synth-001,6.39,204.65,184.5,380.74,6,1.43,38.47
Synth-002,10.59,115.14,158.45,451.67,6,0.83,47.64
Synth-003,8.97,47.34,31.01,360.38,3,2.05,22.12
Synth-004,2.94,22.65,199.44,481.61,1,3.39,29.18
Synth-005,11.76,63.63,177.05,391.02,7,2.53,48.08
Synth-006,9.61,45.05,63.94,433.41,2,2.09,11.92
Synth-007,9.86,148.76,169.01,57.14,5,1.01,39.43
Synth-008,3.28,43.15,30.22,366.23,2,1.41,2.36
Synth-009,6.5,116.2,199.83,220.1,1,1.53,27.39
Synth-010,5.71,151.91,136.48,276.6,6,2.84,35.12
Synth-011,11.27,130.41,133.52,327.09,2,3.15,30.98
Synth-012,8.44,57.96,27.18,484.91,5,3.22,32.16
Synth-013,10.23,172.78,180.44,492.29,5,3.46,36.34
Synth-014,6.43,155.93,15.51,144.19,1,3.45,6.42
Synth-015,4.27,160.41,55.76,366.9,2,3.37,9.61
Synth-016,7.55,44.9,37.17,375.02,6,0.9,25.77
Synth-017,2.64,43.51,157.59,173.31,4,1.09,36.94
Synth-018,10.28,196.24,47.66,62.02,1,1.55,8.88
Synth-019,8.32,95.54,183.02,20.57,7,2.25,46.86
Synth-020,9.58,77.18,134.69,388.69,2,0.97,27.41
Synth-021,5.55,112.83,16.87,244.9,1,3.07,0.5
Synth-022,11.71,145.94,11.03,492.77,7,2.43,15.48
Synth-023,10.93,201.57,19.82,232.54,1,2.22,7.4
Synth-024,9.78,74.42,125.13,488.96,4,1.16,32.91
Synth-025,3.95,195.71,162.28,205.85,7,1.41,38.63
Synth-026,6.67,24.72,55.33,396.86,5,1.15,25.87
Synth-027,2.44,125.49,171.39,42.5,5,3.09,37.43
Synth-028,3.54,140.46,20.87,277.78,3,2.34,8.71
Synth-029,8.83,40.12,162.18,401.05,1,2.76,24.15
Synth-030,9.45,46.66,186.28,462.36,5,1.53,52.12
Synth-031,11.68,99.63,156.7,411.31,7,1.74,54.82
Synth-032,5.26,203.58,142.64,18.58,1,1.83,21.85
Synth-033,5.7,133.25,169.22,186.41,7,2.83,46.71
Synth-034,6.7,197.27,17.63,24.44,3,2.86,11.65
Synth-035,3.89,172.83,48.34,54.73,4,1.28,21.11
Synth-036,3.3,108.8,33.74,337.69,2,3.34,8.62
Synth-037,6.76,169.11,105.86,356.66,5,1.04,33.57
Synth-038,4.27,23.39,151.59,386.88,2,3.21,28.52
Synth-039,8.7,40.74,129.7,432.74,2,0.98,23.7
Synth-040,6.37,177.59,171.71,369.74,6,1.44,45.86
Synth-041,10.33,171.4,39.49,400.46,1,3.07,0.5
Synth-042,9.0,64.2,149.58,24.58,4,1.2,31.4
Synth-043,5.12,120.85,46.68,117.34,5,1.86,25.54
Synth-044,10.32,135.14,61.44,310.99,1,1.96,16.51
Synth-045,10.05,184.87,144.88,429.08,3,1.39,38.87
Synth-046,5.87,134.59,196.24,2.35,3,2.69,31.96
Synth-047,4.88,98.39,126.19,257.36,5,3.08,23.76
Synth-048,8.82,91.09,20.36,338.68,7,3.15,20.84
Synth-049,3.4,100.92,127.1,14.9,6,1.65,34.03
Synth-050,4.0,143.87,18.05,200.74,2,2.19,4.86
Synth-051,2.07,184.82,177.99,447.83,1,1.4,32.15
Synth-052,9.87,106.24,144.82,335.84,1,1.39,24.63
Synth-053,8.65,67.09,42.89,118.91,5,1.15,24.47
Synth-054,9.05,64.97,27.43,426.41,2,3.33,3.87
Synth-055,9.81,161.74,44.87,174.08,2,3.19,11.15
Synth-056,6.59,175.15,196.21,426.69,6,2.88,43.62
Synth-057,7.69,40.0,97.13,149.54,7,2.15,31.31
Synth-058,3.4,32.65,158.98,295.2,6,2.07,39.04
Synth-059,3.15,132.94,130.92,198.53,2,2.18,20.26
Synth-060,8.68,47.77,118.76,137.49,5,2.2,31.13
Synth-061,6.71,176.69,37.57,443.29,5,1.92,27.7
Synth-062,7.65,78.96,189.74,93.88,2,1.07,34.55
Synth-063,9.65,47.34,67.26,42.5,4,1.05,22.86
Synth-064,8.35,194.98,119.82,171.03,4,3.37,13.88
Synth-065,7.54,51.45,142.96,358.85,3,2.05,26.41
Synth-066,7.59,74.1,133.35,403.74,6,3.37,34.28
Synth-067,5.04,49.19,188.71,499.37,5,1.16,41.59
Synth-068,2.31,41.94,38.2,148.25,4,2.25,21.19
Synth-069,6.37,24.02,106.59,204.03,6,1.28,34.32
Synth-070,4.15,30.53,86.77,68.5,6,1.41,36.44
Synth-071,6.09,53.18,100.09,287.48,4,0.78,29.17
Synth-072,10.53,30.14,32.65,498.79,2,1.03,16.18
Synth-073,4.34,132.32,35.48,350.47,6,3.27,17.62
Synth-074,2.58,149.34,62.83,297.65,6,1.6,24.04
Synth-075,4.81,94.79,67.89,196.25,7,2.4,36.46
Synth-076,4.94,80.42,91.3,457.66,2,2.0,7.24
Synth-077,8.62,115.86,126.09,248.51,3,1.82,17.5
Synth-078,7.57,186.25,130.58,67.27,7,2.19,33.89
Synth-079,9.84,181.72,88.24,182.75,4,1.22,25.06
Synth-080,8.64,28.26,87.67,33.68,7,3.47,34.59
Synth-081,6.06,54.48,51.35,101.07,1,2.99,9.53
Synth-082,10.14,64.98,121.78,8.93,1,2.78,17.61
Synth-083,3.67,67.38,70.24,226.69,6,2.01,31.23
Synth-084,2.23,128.53,16.85,317.31,3,1.13,14.55
Synth-085,2.9,99.09,89.5,171.71,4,3.28,20.12
Synth-086,9.22,29.36,100.09,210.25,3,1.66,30.59
Synth-087,6.62,90.99,52.86,479.61,3,0.84,20.5
Synth-088,3.61,119.51,118.77,376.01,7,1.66,33.99
Synth-089,7.01,39.32,117.5,270.47,1,2.92,22.34
Synth-090,3.52,178.36,143.38,142.34,6,2.44,34.08
Synth-091,8.96,29.87,133.11,448.51,7,2.8,41.5
Synth-092,6.46,195.72,133.96,117.63,5,2.92,36.52
Synth-093,5.81,38.83,70.08,162.74,3,1.29,7.61
Synth-094,5.02,180.28,159.61,454.54,2,3.29,17.45
Synth-095,8.3,191.5,114.34,264.82,5,1.93,24.01
Synth-096,5.62,206.12,91.97,371.18,4,2.49,19.54
Synth-097,2.88,172.38,128.94,295.41,2,0.71,22.12
Synth-098,3.18,168.1,78.52,326.75,3,3.48,6.14
Synth-099,11.62,142.07,107.42,149.76,7,1.49,32.93
Synth-100,11.09,168.01,149.97,120.76,2,0.87,25.23
Synth-101,9.0,45.56,178.42,161.31,2,1.98,45.48
Synth-102,4.66,121.85,185.0,77.81,5,1.06,49.92
Synth-103,11.69,117.7,105.69,437.17,2,1.13,23.22
Synth-104,9.79,182.94,108.85,141.7,7,2.47,32.51
Synth-105,9.17,107.93,161.98,280.79,7,1.8,39.78
Synth-106,6.49,93.17,69.75,396.01,7,3.28,18.72
Synth-107,4.72,141.52,169.1,391.93,7,1.59,44.08
Synth-108,2.96,70.63,103.89,219.25,2,2.73,12.29
Synth-109,11.03,46.56,32.01,238.18,2,1.99,12.17
Synth-110,6.56,110.8,23.69,497.35,3,2.55,3.01
Synth-111,4.02,99.21,169.98,337.33,4,2.38,30.64
Synth-112,5.06,64.19,20.56,407.34,7,2.02,24.06
Synth-113,7.79,89.83,63.32,451.29,6,3.36,26.96
Synth-114,3.77,89.61,73.48,393.82,5,1.66,26.85
Synth-115,10.57,82.22,42.87,92.67,7,1.2,22.54
Synth-116,9.59,92.1,69.64,281.13,5,2.6,28.88
Synth-117,9.19,150.29,151.11,51.04,3,3.07,23.37
Synth-118,6.32,76.41,12.79,326.5,3,0.81,15.72
Synth-119,8.27,200.28,167.16,477.68,4,1.96,35.62
Synth-120,7.84,194.11,172.74,256.41,1,3.2,16.95
Synth-121,8.5,111.37,80.73,216.54,6,2.8,26.04
Synth-122,2.84,82.39,39.19,18.02,5,3.48,15.62
Synth-123,6.16,121.73,124.16,479.89,6,2.19,38.36
Synth-124,2.42,181.23,32.74,51.59,4,2.55,8.95
Synth-125,6.94,143.99,79.33,20.64,6,1.55,35.16
Synth-126,5.3,172.83,192.1,123.11,7,3.35,47.95
Synth-127,3.45,121.22,199.14,32.86,4,1.73,36.6
Synth-128,3.03,140.25,156.7,227.61,4,2.77,33.57
Synth-129,7.88,74.75,69.08,258.09,1,1.83,23.11
Synth-130,3.71,159.63,140.66,156.35,6,2.27,43.8
Synth-131,11.25,58.46,144.03,25.58,7,2.72,35.62
Synth-132,7.81,152.01,83.69,55.89,5,2.13,19.82
Synth-133,5.47,183.54,131.77,192.31,7,3.24,41.74
Synth-134,7.91,45.1,12.04,30.36,7,1.87,16.97
Synth-135,2.23,136.73,49.72,349.13,6,2.51,13.95
Synth-136,11.59,38.07,109.77,103.59,4,1.66,28.27
Synth-137,6.82,157.89,41.11,151.11,1,1.84,8.59
Synth-138,9.83,36.05,41.52,197.12,1,1.93,10.03
Synth-139,2.83,197.83,168.9,208.36,2,1.05,24.48
Synth-140,6.87,46.11,197.94,0.93,4,0.96,38.92
Synth-141,6.91,202.19,115.63,56.12,6,2.57,26.34
Synth-142,11.38,172.17,169.42,431.4,4,2.54,32.35
Synth-143,7.72,132.8,198.16,0.72,1,2.56,40.23
Synth-144,6.73,168.7,36.9,254.13,2,0.76,12.78
Synth-145,4.67,171.07,95.17,244.8,7,1.61,36.62
Synth-146,5.32,199.75,84.59,166.61,7,1.25,28.23
