물질명,유형,원소수,평균원자질량,평균가전자수,밀도,열전도도,전자비열계수,Tc
CeSiU2Sr,화합물,4,15.46,5.2,2.6,46.05,11.97,15.32
GeIn3,수소화물,2,27.61,2.6,5.0,21.65,1.27,153.03
BiRuSnF,고온,4,52.15,1.6,3.85,12.27,5.73,144.22
MoCs,화합물,2,67.56,1.6,2.28,24.51,9.69,1.32
H3TbRh,합금,3,97.37,4.6,13.78,138.11,11.53,2.96
Mo2NaEu,합금,3,51.2,4.2,13.77,141.94,6.93,2.03
Ge,원소,1,38.29,4.0,18.27,253.58,2.47,4.06
VIn3TaDy3Ca2Pb,고온,6,137.17,2.5,7.74,1.49,1.5,85.35
Mn2Ga3O,화합물,3,104.71,5.2,5.68,21.94,6.15,25.15
PtPd4Gd2Ge2,화합물,4,88.47,5.1,2.18,40.17,14.62,4.86
Ga,원소,1,236.55,5.0,8.37,380.29,4.82,7.26
BeLi3,수소화물,2,16.04,3.0,3.01,58.39,10.12,186.98
SNdK2HoTl2Cs,고온,6,62.49,4.8,8.93,8.12,10.82,153.62
OY,합금,2,48.45,2.1,11.06,81.85,3.92,14.5
O3Nb3,합금,2,83.61,2.4,12.48,48.3,4.06,5.97
Ta3Cs3,합금,2,23.76,2.1,7.07,43.57,11.99,0.91
NSm2F3,화합물,3,133.46,1.7,2.42,13.67,11.29,0.0
K4Th2Si3,화합물,3,128.91,6.0,9.01,15.31,13.75,13.94
Be3Sm2OsNa,화합물,4,95.78,5.2,8.32,34.26,11.94,4.05
Te4ErO2Fe,화합물,4,136.0,3.2,2.8,25.91,5.55,28.62
Dy2Mg2H2,화합물,3,127.81,4.7,8.3,48.35,3.76,24.04
Mn2Er,합금,2,137.18,3.9,11.13,146.71,9.43,1.46
Pb4As2,화합물,2,24.14,2.5,8.87,34.15,0.61,4.84
Ag3As3Pb,화합물,3,140.08,4.2,2.58,4.38,3.61,6.39
VCu2,화합물,2,66.31,4.3,7.04,34.95,11.12,16.54
TbBeMoSbMg3Ga,고온,6,85.7,3.6,7.29,5.01,8.35,155.01
Mn3Pr2,합금,2,149.92,5.0,14.6,100.27,12.24,11.9
Cd2Co2,화합물,2,22.75,2.3,12.39,12.02,7.43,12.91
Yb4Rh2LuNa,화합물,4,50.84,4.9,2.06,18.58,1.16,27.68
Cu,원소,1,199.32,2.0,18.12,119.68,6.44,0.0
Sr2HgAs2Th3,화합물,4,97.38,3.8,5.62,4.83,5.75,7.77
Ni3Co2Ge2,합금,3,126.48,4.6,10.56,15.48,4.71,10.09
Lu2,원소,1,128.73,3.0,6.45,243.62,2.23,7.26
PbLaTb3Th3ErY,고온,6,54.12,1.6,8.81,8.3,6.07,140.8
La4As2,수소화물,2,45.2,5.6,6.84,65.42,9.06,199.8
